ppCode,ppName,geometries
C0157,CHANGI NORTH CRESCENT ,"1.3496744914710643, 103.96702605378131"
C0158,CHANGI NORTH RISE ,"1.3483542679731078, 103.96987103087095"
C0159,CHANGI NORTH STREET 1 ,"1.3496853081529032, 103.970104014604"
C0160,CHANGI NORTH STREET 2 ,"1.351049296629876, 103.96651078800816"
C0161,CHANGI SOUTH LANE ,"1.3321516511290776, 103.95243912155033"
C0162,CLEMENCEAU AVENUE OFF STREET,"1.2939732461835247, 103.84451675349403"
D0001,DEVONSHIRE ROAD ,"1.298326482278343, 103.83781054027392"
D0002,DUBLIN ROAD ,"1.2983942629738756, 103.8397324550714"
D0004,DICKSON ROAD ,"1.3055297404005055, 103.85379209642177"
D0005,DUNLOP STREET ,"1.3051806520929352, 103.85333450415371"
D0006,DUXTON HILL OFF STREET ,"1.2791213614245371, 103.8430766860545"
D0009,DESKER ROAD ,"1.3088317802494722, 103.8554883474075"
D0010,DUXTON ROAD ,"1.2787171670324484, 103.84337154950731"
D0012,DALHOUSIE LANE ,"1.3049047615589486, 103.85223834598723"
D0017,DUNEARN CLOSE ,"1.325018383936054, 103.81491956242606"
D0026,DICKSON ROAD OFF STREET,"1.3058961275037382, 103.85356732694173"
D0027,DUNMAN ROAD FOOD CENTRE OFF STREET,"1.3095005292993638, 103.90170677936716"
D0028,DELTA CIRCUS FRINGE CAR PARK,"1.2893051001294153, 103.82465436208547"
D0029,DAIRY FARM ROAD - PETIR ROAD HV PARK,"1.3656994938321645, 103.7760525051034"
E0009,EMERALD HILL ROAD ,"1.3025273814902618, 103.83916391954591"
E0010,EUNOS ROAD 7 - EUNOS AVE 6 HVP,"1.3224182797829098, 103.89307257769264"
E0011,EMERALD LINK ,"1.3020967471450926, 103.83845256594292"
E0017,EAST COAST ROAD (HAIG ROAD-TELOK KURAU ROAD),"1.3033858020915803, 103.90260993719535"
E0022,EVERTON ROAD ,"1.2765852357447267, 103.83773425970291"
E0023,EAST COAST PARK E3 OFF STREET,"1.3086487746593118, 103.93624430480816"
E0024,EAST COAST PARK E2 OFF STREET,"1.3073484560097048, 103.9358221391092"
E0025,EAST COAST PARK SERVICE ROAD,"1.3072658548642277, 103.92958253279872"
E0027,EAST COAST PARK E1 OFF STREET,"1.306893520704473, 103.92999292150212"
E0031,EAN KIAM PLACE ,"1.3049158924924722, 103.90194019108655"
E0033,EAST COAST ROAD (BET FRANKEL AVE-SIGLAP RD),"1.3120189348688127, 103.92258078166135"
E0034,EVERITT ROAD NORTH ,"1.3159949186299562, 103.90151105748694"
E0035,EVERITT ROAD ,"1.3142759152186891, 103.90160913064447"
E0037,EAST COAST ROAD (BET SIGLAP RD-JALAN JAMAL),"1.3122394469238723, 103.92464289748166"
F0001,FORT CANNING PARK A OFF STREET,"1.296437369290826, 103.84751121879485"
F0002,FOCH ROAD ,"1.3125175726284681, 103.86017222387473"
F0006,FLANDERS SQUARE ,"1.3121577585570348, 103.85743066273648"
F0011,FORESTHILL HEAVY VEHICLE PARK,"1.3748426601258925, 103.73296190234247"
F0013,FOURTH CHIN BEE ROAD  ,"1.333364967501423, 103.71796407057106"
F0021,FIRST LOK YANG ROAD ,"1.3258874722293004, 103.69347156397079"
F0022,FORT CANNING PARK B OFF STREET,"1.2963755141176292, 103.84655848806422"
F0025,FOURTH LOK YANG ROAD ,"1.3261432129425588, 103.68796253007227"
F0026,FIFTH LOK YANG ROAD ,"1.3259521562746013, 103.68611708211192"
F0027,FORT CANNING PARK C OFF STREET,"1.2965649156705994, 103.84500923693474"
F0029,FORT ROAD-EAST COAST PARK HV PARK,"1.2950438555419908, 103.88437350605216"
F0030,FARLEIGH AVENUE ,"1.3647048332826397, 103.86537262026127"
F0031,FARLEIGH AVENUE OFF STREET,"1.3641745234877913, 103.86568469763387"
F0032,FOURTH CHIN BEE ROAD HEAVY VEHICLE PARK,"1.0162642548260385, 103.58175180795413"
